epoch,loss,val_loss
0,0.07297763228416443,0.24920180439949036
1,0.040113259106874466,0.24040646851062775
2,0.03992205858230591,0.25125110149383545
3,0.03961145505309105,0.2537533640861511
4,0.03960367292165756,0.2539791464805603
5,0.03955250233411789,0.256846159696579
6,0.039308033883571625,0.257455050945282
7,0.039129145443439484,0.24649162590503693
8,0.03890417143702507,0.2438124120235443
9,0.03843499347567558,0.25058677792549133
10,0.03819699212908745,0.2498817890882492
11,0.03781528398394585,0.23888260126113892
12,0.03710302710533142,0.24451231956481934
13,0.03663777932524681,0.2512896656990051
14,0.035961832851171494,0.2190481275320053
15,0.03501230850815773,0.23698170483112335
16,0.03428485989570618,0.24496927857398987
17,0.03322499617934227,0.24527554214000702
18,0.031831562519073486,0.24139903485774994
19,0.03095557913184166,0.23808492720127106
20,0.029660942032933235,0.26546409726142883
21,0.02813640423119068,0.2274293750524521
22,0.02732938900589943,0.2699901759624481
23,0.025608841329813004,0.28011754155158997
24,0.02425210177898407,0.26933974027633667
25,0.022657353430986404,0.24226927757263184
26,0.021540923044085503,0.26276203989982605
27,0.020067531615495682,0.26345697045326233
28,0.01934666372835636,0.2580409646034241
29,0.017814137041568756,0.25185421109199524
30,0.016498422250151634,0.2815295457839966
31,0.0152482520788908,0.2519691586494446
32,0.014134162105619907,0.2466898113489151
33,0.0128016984090209,0.27935701608657837
34,0.012524556368589401,0.25988203287124634
